Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,Global,,CoderBase,,,,2690504,100.0,3126589,0,3126589,100.0,18391700,0,18391700,100.0
,,,CoderPCA,0,,4,1176667,43.73,3126626,0,3126626,100.0,6259743,21216,6280959,34.15
,,,,,,8,1300021,48.32,3126626,0,3126626,100.0,7246578,21216,7267794,39.52
,,,,,,16,1446068,53.75,3126626,0,3126626,100.0,8414955,21216,8436171,45.87
,,,,,,32,1531273,56.91,3126626,0,3126626,100.0,9096594,21216,9117810,49.58
,,,,,,64,1574029,58.5,3126626,0,3126626,100.0,9438643,21216,9459859,51.44
,,,,,,128,1596019,59.32,3126626,0,3126626,100.0,9614565,21216,9635781,52.39
,,,,,,256,1607907,59.76,3126626,0,3126626,100.0,9709666,21216,9730882,52.91
,,,,1,,4,1122434,41.72,3126626,0,3126626,100.0,5825883,21216,5847099,31.79
,,,,,,8,1226674,45.59,3126626,0,3126626,100.0,6659798,21216,6681014,36.33
,,,,,,16,1370358,50.93,3126626,0,3126626,100.0,7809265,21216,7830481,42.58
,,,,,,32,1468494,54.58,3126626,0,3126626,100.0,8594364,21216,8615580,46.84
,,,,,,64,1529767,56.86,3126626,0,3126626,100.0,9084553,21216,9105769,49.51
,,,,,,128,1568963,58.31,3126626,0,3126626,100.0,9398115,21216,9419331,51.22
,,,,,,256,1596113,59.32,3126626,0,3126626,100.0,9615316,21216,9636532,52.4
,,,,3,,4,967346,35.95,3126626,0,3126626,100.0,4585173,21216,4606389,25.05
,,,,,,8,1007790,37.46,3126626,0,3126626,100.0,4908728,21216,4929944,26.81
,,,,,,16,1140361,42.38,3126626,0,3126626,100.0,5969295,21216,5990511,32.57
,,,,,,32,1275334,47.4,3126626,0,3126626,100.0,7049074,21216,7070290,38.44
,,,,,,64,1390543,51.68,3126626,0,3126626,100.0,7970753,21216,7991969,43.45
,,,,,,128,1472290,54.72,3126626,0,3126626,100.0,8624735,21216,8645951,47.01
,,,,,,256,1533106,56.98,3126626,0,3126626,100.0,9111256,21216,9132472,49.66
,,,,5,,4,829593,30.83,3126626,0,3126626,100.0,3483153,21216,3504369,19.05
,,,,,,8,779149,28.96,3126626,0,3126626,100.0,3079598,21216,3100814,16.86
,,,,,,16,855723,31.81,3126626,0,3126626,100.0,3692185,21216,3713401,20.19
,,,,,,32,1002132,37.25,3126626,0,3126626,100.0,4863474,21216,4884690,26.56
,,,,,,64,1176275,43.72,3126626,0,3126626,100.0,6256603,21216,6277819,34.13
,,,,,,128,1324265,49.22,3126626,0,3126626,100.0,7440535,21216,7461751,40.57
,,,,,,256,1437698,53.44,3126626,0,3126626,100.0,8347986,21216,8369202,45.51
,,,,10,,4,755559,28.08,3126626,0,3126626,100.0,2890883,21216,2912099,15.83
,,,,,,8,641208,23.83,3126626,0,3126626,100.0,1976058,21216,1997274,10.86
